,NTACode,NTAName,NTA Latitude,NTA Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
92,BX33,Longwood,40.819720735923426,-73.89855799081846,"MTA MaBSTOA Bus at Westchester Ave & Prospect Ave: (Bx4, Bx4A, Bx17, Bx46)",40.81970407848528,-73.901606798172,Bus Station
93,BX33,Longwood,40.819720735923426,-73.89855799081846,San Marcos,40.822229,-73.897143,Latin American Restaurant
94,BX33,Longwood,40.819720735923426,-73.89855799081846,MTA Subway - Intervale Ave (2/5),40.82218025464429,-73.8967354576721,Metro Station
95,BX33,Longwood,40.819720735923426,-73.89855799081846,Price Choice,40.82241225471763,-73.89622764731743,Grocery Store
96,BX33,Longwood,40.819720735923426,-73.89855799081846,Great Wall Chinese Food,40.823273182797735,-73.90004240721701,Chinese Restaurant
97,BX33,Longwood,40.819720735923426,-73.89855799081846,Come And Get It Fish And Chips,40.82278823852539,-73.90253448486328,Fish & Chips Shop
98,BX33,Longwood,40.819720735923426,-73.89855799081846,Fish N Chips,40.822777,-73.90254300000001,Seafood Restaurant
99,BK43,Midwood,40.62171532679638,-73.95822169337588,Di Fara Pizza,40.625134711225336,-73.96147853933067,Pizza Place
100,BK43,Midwood,40.62171532679638,-73.95822169337588,Benny's Brick Oven Pizza,40.61826558245511,-73.95712545664973,Pizza Place
101,BK43,Midwood,40.62171532679638,-73.95822169337588,7-Eleven,40.618372666360244,-73.95845755934715,Convenience Store
102,BK43,Midwood,40.62171532679638,-73.95822169337588,Posh Kosher Pizza,40.618352088945095,-73.95805451436021,Pizza Place
103,BK43,Midwood,40.62171532679638,-73.95822169337588,Mountain Fruit of Ave M,40.61809713435007,-73.95923697282866,Grocery Store
104,BK43,Midwood,40.62171532679638,-73.95822169337588,Chikurin Japanese Restaurant,40.61873004377748,-73.95481085897256,Japanese Restaurant
105,BK43,Midwood,40.62171532679638,-73.95822169337588,Organic Circle,40.618206,-73.960417,Organic Grocery
106,BK43,Midwood,40.62171532679638,-73.95822169337588,Benny's,40.62510660783823,-73.96165841617525,Pizza Place
107,BK43,Midwood,40.62171532679638,-73.95822169337588,Baskin-Robbins,40.6177832,-73.959673,Ice Cream Shop
108,BK43,Midwood,40.62171532679638,-73.95822169337588,7-Eleven,40.6254852,-73.9606792,Convenience Store
109,BK43,Midwood,40.62171532679638,-73.95822169337588,Baskin-Robbins,40.62493960439699,-73.96196389969822,Ice Cream Shop
110,BK43,Midwood,40.62171532679638,-73.95822169337588,Masake,40.61822685283506,-73.95796086182948,Japanese Restaurant
111,BK43,Midwood,40.62171532679638,-73.95822169337588,Chase Bank,40.6181345,-73.9599505,Bank
112,BK43,Midwood,40.62171532679638,-73.95822169337588,Chock Full O' Nuts,40.618160387686835,-73.95874565376455,Coffee Shop
